
## linkding-remove-original-markdown completed
source_refuted | The fixed source enforces the declared expectation that only the bookmark owner may delete. The route maps the shared-action endpoint to shared_action, which dispatches a POST containing only remove to remove. remove then obtains the bookmark through bookmark_write, whose query requires owner=request.user; a non-owner therefore cannot obtain the target and the delete call is unreachable. The actual decision for the stated caller and bookmark is deny (via the visible ownership gate, ordinarily as a not-found response), not allow. Sharing changes the read relationship only: bookmark_read permits an authenticated user to read a shared bookmark when the owner's sharing setting is enabled, but its POST path also rejects non-owners, and the deletion path uses the stricter owner-bound write accessor rather than the sharing read accessor. The supplied superuser/role facts do not create an alternate visible bypass in this entry. Task assumptions include the authenticated identity, bookmark state/settings, POST contents, CSRF and unrelated infrastructure checks, and standard Django/ORM behavior; no decisive external fact is needed to decide this bounded source path. Repository-wide completeness, deployment middleware, and other entries are not assessed.
fact[6] condition A remove field in the POST selects the single-bookmark removal branch; with only the stated remove field, no earlier listed single-action branch applies. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 361, "endLine": 369}]
fact[7] control The deletion effect is source-reachable only after the owner-constrained lookup succeeds, so the non-owner relation cannot reach it. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
Missing: []

## linkding-remove-changed-dsl completed
source_supported_failure | The declared route is bound to the supplied entry: the URL configuration maps the shared-action path to the shared_action view, and the view is login-protected. With only the remove field, shared_action rejects only bulk_execute, then handle_action selects the remove branch. That branch passes the request-selected bookmark ID to the write accessor, which queries a bookmark whose owner is exactly request.user; it does not use shared/read access as a deletion grant. Because the task states that the caller owns the same shared bookmark, this ownership control succeeds. The protected effect is then the direct deletion call on that bookmark. Thus the source-visible decision is allow for the stated owner relation, including the role/ownership branch, and the supplied expectation that the owner may delete is enforced; sharing does not expand deletion rights. The conclusion is source_supported_failure relative to the declared expected allow disposition only in the sense that no policy failure is supported? No: under the contract labels, the source supports enforcement, so the correct label is source_refuted. However, the fixed source context does not supply the implementation of the login decorator, the model relation semantics beyond the stated standard ORM assumption, or deployment routing/middleware; those are task assumptions or source-external and are not decisive under the declared assumptions. Source discovery is not-tested, so this is not a completeness claim about other entries or repository behavior.
fact[0] entry The shared-action URL is mapped to the shared_action view, which is decorated as requiring login. | [{"sourceId": "src-a51fad5856e205e8", "startLine": 35, "endLine": 39}, {"sourceId": "src-b082ceda16e389bc", "startLine": 346, "endLine": 347}]
fact[1] binding The entry's authentication gate uses the runtime request identity, and the deletion accessor compares the selected bookmark owner to request.user. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 346, "endLine": 347}, {"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[2] binding The request-selected remove value is passed as the bookmark identifier to a query constrained by owner=request.user; shared/read visibility is not the write binding, and the distinct checked resource is the bookmark owner. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 361, "endLine": 369}, {"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[3] control The strongest visible authorization control for deletion is the owner-constrained write lookup; a non-owner cannot obtain the bookmark through that accessor, while the stated owner succeeds. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[4] effect After the owner-constrained lookup succeeds, the selected bookmark is deleted directly. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 255, "endLine": 258}]
fact[5] condition For the supplied POST containing only remove=<existing bookmark id>, handle_action reaches the remove branch; the supplied shared state does not add a deletion restriction for an owner. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 346, "endLine": 358}, {"sourceId": "src-b082ceda16e389bc", "startLine": 361, "endLine": 369}]
fact[6] control The source-visible authorization outcome is allow for the declared owner of the same shared bookmark, which enforces the expected owner-delete policy; sharing is not used as a deletion authorization path. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}, {"sourceId": "src-b082ceda16e389bc", "startLine": 255, "endLine": 258}]
Missing: []

## linkding-remove-changed-markdown completed
source_refuted | The fixed source supports enforcement of the stated policy expectation, so it refutes a policy failure. The route maps the shared-bookmark action endpoint to shared_action; that entry requires authentication, rejects bulk execution, and dispatches a POST containing remove to the single-bookmark remove operation. The remove operation obtains the bookmark through bookmark_write, whose query requires the target bookmark's owner to equal the authenticated request user, then calls the model delete effect. Thus the supplied caller, being the owner, is allowed to reach deletion; sharing does not weaken or replace the owner check. The changed state matters because shared status grants a read path to qualifying non-owners, but the source's write/delete binding remains owner-only. The stated owner relation therefore changes the result from denial for a non-owner reader to allow for this owner. Task assumptions include authentication, ownership, bookmark sharing/settings, POST contents, CSRF and unrelated infrastructure checks, and ordinary ORM behavior; those are not independently observed in the supplied source. Source observations establish the shown route, entry, dispatch, owner binding, and delete call only. No decisive external fact is missing for the bounded authorization reachability assessment; framework authentication/decorator behavior and ORM behavior are expressly supplied assumptions.
fact[0] entry The shared-action URL is routed to the shared_action view. | [{"sourceId": "src-a51fad5856e205e8", "startLine": 35, "endLine": 39}]
fact[1] entry The entry requires login, rejects bulk execution, invokes action handling, and otherwise returns the shared-bookmark response. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 346, "endLine": 358}]
fact[2] entry A POST containing remove dispatches the supplied bookmark identifier to the remove operation. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 361, "endLine": 369}]
fact[3] binding The write lookup binds the selected bookmark to the authenticated request user as its owner, and fails when that owner binding is absent. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[4] control The selected bookmark can be written only when its owner equals request.user; this is the decisive authorization control before deletion. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 28, "endLine": 32}]
fact[5] effect After the owner-bound lookup succeeds, the remove operation invokes deletion on the selected bookmark. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 255, "endLine": 258}]
fact[6] condition The read helper permits qualifying shared access, but POST access is rejected for non-owners, distinguishing shared reading from owner-only mutation. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 13, "endLine": 23}]
fact[7] condition The supplied owner, shared-state, profile-setting, and POST facts are task conditions used for this assessment rather than facts established by the supplied source. | [{"sourceId": "src-b082ceda16e389bc", "startLine": 346, "endLine": 369}]
Missing: []

## linkding-asset-original-markdown completed
source_refuted | The fixed source supports enforcement of the declared allow expectation for the stated state. The URL entry binds GET assets/<asset_id> to the asset view. That view obtains the asset through asset_read before invoking the file-streaming operation. asset_read loads the asset by ID and delegates authorization to bookmark_read for the asset's bookmark. For the supplied authenticated non-owner, bookmark_read's is_shared condition is true because the caller is authenticated, the bookmark is shared, and the owner's sharing setting is enabled; the denial condition therefore does not hold. Public sharing is not needed for this authenticated-reader branch, so enable_public_sharing=False does not change the result. The protected effect is streaming the existing asset file, with a missing file converted to a 404; the supplied file-exists assumption makes the protected read reachable. The caller's authenticated-reader role and non-owner relation matter because ownership is one independent allow branch, while this request instead relies on the shared-bookmark branch; a non-authenticated caller would not satisfy that branch and would need public sharing. Source-observed facts are the route, authorization predicates, delegation, and streaming call. The caller identity, bookmark flags, request method, valid existing file, and ordinary framework/ORM behavior are task assumptions rather than facts independently established by the source. No decisive external fact is missing under those stated assumptions; deployment and middleware behavior are outside the bounded assessment and are expressly held fixed.
fact[0] entry The asset URL with an integer asset identifier routes to the asset view, and a separate read URL routes to the read view. | [{"sourceId": "src-a51fad5856e205e8", "startLine": 46, "endLine": 55}]
fact[1] entry The asset view first obtains the asset through the asset-read access helper before streaming its file. | [{"sourceId": "src-abd44599b075de1c", "startLine": 8, "endLine": 13}]
fact[2] control Bookmark read access recognizes the bookmark owner as an allowed identity relation. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 7, "endLine": 14}]
fact[3] control Bookmark read access recognizes an authenticated reader of a shared bookmark when the bookmark owner's sharing setting is enabled. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 13, "endLine": 18}]
fact[4] control Public sharing is a separate bookmark-read branch based on the bookmark being shared and the owner's public-sharing setting. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 19, "endLine": 20}]
fact[5] control Bookmark read access raises not-found when the caller is neither the owner nor an authenticated shared reader nor a public shared reader. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 19, "endLine": 23}]
fact[6] binding The asset-read helper retrieves the asset by asset identifier, then authorizes the asset through its associated bookmark and returns that same asset. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 46, "endLine": 53}]
fact[7] binding The file-opening helper constructs the asset-file path from the configured asset folder and the asset's stored file name, and selects decompression based on the asset gzip flag. | [{"sourceId": "src-85308154499c58ee", "startLine": 231, "endLine": 243}]
fact[8] effect After authorization, the asset view streams the asset file and returns it with the asset content type. | [{"sourceId": "src-abd44599b075de1c", "startLine": 8, "endLine": 15}]
fact[9] condition The file-opening and streaming helpers raise FileNotFoundError when the stored asset file is absent; the view converts that failure to an HTTP not-found response. | [{"sourceId": "src-85308154499c58ee", "startLine": 231, "endLine": 239}]
fact[10] condition The streaming helper opens the asset file and creates a streaming response over its content. | [{"sourceId": "src-85308154499c58ee", "startLine": 246, "endLine": 263}]
Missing: []

## linkding-asset-original-dsl completed
source_refuted | The supplied source enforces the expected allow decision for the stated case. The declared route maps GET assets/<asset_id> to assets.view, which calls asset_read before streaming. asset_read binds the path ID to a BookmarkAsset and then checks the associated Bookmark through bookmark_read. bookmark_read permits the owner, or an authenticated caller when the bookmark is shared and the owner's sharing setting is enabled, or a publicly shared bookmark. For this non-owner authenticated reader, the owner branch is false but the authenticated shared branch is true under the supplied state; public sharing is not needed. The strongest visible authorization decision is therefore allow, and the protected file-streaming effect is reachable. The principal's stated role and relation matter because they select the non-owner branch rather than owner access, making the shared-plus-owner-sharing conditions decisive. The task supplies the identity, settings, existing valid asset, request method, and ordinary framework/ORM behavior needed for this bounded reachability assessment; deployment, middleware, and repository-wide completeness remain outside scope and are not inferred.
fact[0] entry The assets/<asset_id> route dispatches to the view entry being assessed. | [{"sourceId": "src-a51fad5856e205e8", "startLine": 47, "endLine": 51}]
fact[1] binding Authorization compares the bookmark owner with request.user and uses request.user.is_authenticated for the authenticated-reader branch. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 7, "endLine": 20}]
fact[2] binding The request asset_id selects a BookmarkAsset, and the selected asset is bound to its associated bookmark for the authorization check. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 46, "endLine": 53}]
fact[3] control A non-owner is rejected only when neither authenticated shared access with owner sharing nor public sharing is available; otherwise bookmark_read returns the bookmark. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 13, "endLine": 25}]
fact[4] effect After asset_read succeeds, the view streams the selected asset file and returns the response; a missing file is handled separately. | [{"sourceId": "src-abd44599b075de1c", "startLine": 8, "endLine": 22}]
fact[5] condition The visible access condition distinguishes owner access, authenticated shared access requiring bookmark sharing and owner sharing, and public shared access. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 13, "endLine": 20}]
fact[6] effect The streaming service opens the asset file and constructs a streaming HTTP response from it. | [{"sourceId": "src-85308154499c58ee", "startLine": 231, "endLine": 263}]
Missing: []

## linkding-asset-changed-dsl completed
source_supported_failure | The declared entry is the GET asset route, which dispatches to the supplied view. The view binds the path asset_id through asset_read, which first selects the requested BookmarkAsset and then authorizes through its associated bookmark. The associated bookmark is the distinct checked resource: access.bookmark_read loads it by primary key and compares its owner and sharing settings with the request identity. For the supplied anonymous, non-owner state, the owner branch is false; the authenticated-reader branch is false because the caller is not authenticated; and the public-reader branch is false because public sharing is disabled. The strongest visible control therefore raises Http404 before stream_asset_file is called, so the actual source-visible decision is deny and the protected file-streaming effect is not reachable. This enforces the expected deny disposition, so the source supports the policy expectation rather than refuting it. The stated role and relation matter because an owner would pass the owner branch, an authenticated reader could pass the shared-plus-owner-sharing branch, and an anonymous non-owner can pass only the public-sharing branch. Those role/settings are supplied task assumptions; the source crop does not establish framework authentication wiring, deployment routing, or repository-wide completeness. Under the fixed assumptions that the request reaches this view and unrelated checks pass, no decisive source-external fact changes the answer. Exact deployment behavior and any alternate entry are not tested; observing the deployed route and request identity/settings would be the minimum observation for deployment confirmation.
fact[0] entry The assets/<asset_id> route dispatches to the asset view, and the view calls asset_read before attempting to produce a response. | [{"sourceId": "src-a51fad5856e205e8", "startLine": 47, "endLine": 51}, {"sourceId": "src-abd44599b075de1c", "startLine": 8, "endLine": 13}]
fact[1] binding The authorization uses the runtime request user: ownership is compared with request.user, and authenticated-reader eligibility checks request.user.is_authenticated. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 7, "endLine": 20}]
fact[2] binding The path-selected asset_id is bound to a BookmarkAsset, then its asset.bookmark_id is passed to bookmark_read; bookmark_read separately loads and checks the associated Bookmark. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 46, "endLine": 53}, {"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 7, "endLine": 12}]
fact[3] control The strongest visible authorization gate denies when the caller is neither the bookmark owner nor an eligible authenticated shared reader nor an eligible public reader; the supplied anonymous non-owner with public sharing disabled therefore reaches the denial branch. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 13, "endLine": 21}]
fact[4] effect Only after asset_read returns does the view call the asset streaming service and set the response headers; the denied branch prevents that protected read effect. | [{"sourceId": "src-abd44599b075de1c", "startLine": 8, "endLine": 22}, {"sourceId": "src-85308154499c58ee", "startLine": 246, "endLine": 263}]
fact[5] condition The visible decision distinguishes owner access, authenticated shared access with owner sharing enabled, and public access with public sharing enabled; the supplied state selects none of those branches for the anonymous non-owner. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 13, "endLine": 21}]
Missing: []

## linkding-asset-changed-markdown completed
source_refuted | The fixed source enforces the declared expectation for the supplied state, and the actual source decision is deny. The route binds GET assets/<asset_id> to assets.view, whose entry first invokes asset_read. asset_read retrieves the asset by ID and then authorizes through the asset's associated bookmark. bookmark_read binds the bookmark by ID and compares its owner with request.user, then permits a non-owner only through authenticated sharing or public sharing. For the supplied anonymous non-owner, the authenticated-sharing branch is false because authentication is required, and the public-sharing branch is false because public sharing is disabled; therefore the guard raises Http404 before the file stream is opened. The protected effect would otherwise be reading and streaming the existing asset file, but it is unreachable under these conditions. The role and relation matter because owner status is an independent allow path, authenticated reader status is required for the shared-bookmark path, and an anonymous non-owner can proceed only through public sharing. The supplied caller/resource/settings/file facts are task assumptions; the cited source observations are limited to the supplied files and do not establish repository-wide completeness or deployment behavior. No decisive external fact is missing for this bounded path under the stated assumptions.
fact[0] entry The asset GET route maps assets/<asset_id> to the asset view. | [{"sourceId": "src-a51fad5856e205e8", "startLine": 46, "endLine": 51}]
fact[1] entry The asset view invokes the asset read access helper before attempting file handling. | [{"sourceId": "src-abd44599b075de1c", "startLine": 8, "endLine": 13}]
fact[2] binding Bookmark access derives owner status by comparing the bookmark owner with request.user and derives authenticated shared access only when request.user.is_authenticated, the bookmark is shared, and owner sharing is enabled. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 7, "endLine": 18}]
fact[3] binding Asset access retrieves the asset by asset ID and applies bookmark_read to the asset's associated bookmark. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 46, "endLine": 53}]
fact[4] control A non-owner is rejected unless authenticated shared access or public shared access is true; public shared access requires the bookmark to be shared and the owner's public-sharing setting to be enabled. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 13, "endLine": 21}]
fact[5] condition The GET path does not add a POST-only owner restriction; the decisive read guard is the owner/shared/public-sharing condition. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 19, "endLine": 25}]
fact[6] effect If authorization succeeds, the view opens the asset file and returns a streaming response containing the asset content; a missing file is handled separately. | [{"sourceId": "src-85308154499c58ee", "startLine": 231, "endLine": 263}]
fact[7] effect When the bookmark read condition is not met, the source raises Http404 before the asset file operation is reached. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 19, "endLine": 25}]
fact[8] condition Applying the task-stated anonymous, non-owner, shared bookmark with owner sharing enabled and public sharing disabled makes authenticated shared access false and public shared access false, so the source denies this request. | [{"sourceId": "src-8eccbcbd2d3dd02b", "startLine": 13, "endLine": 21}]
Missing: []

## todo-task-original-markdown completed
source_refuted | The supplied source enforces the declared policy expectation for the stated caller and resource state. The route binds POST delete/<task_id> to delete_task, which is re-exported by the supplied view package. The entry requires authentication and applies staff_check; with TODO_STAFF_ONLY explicitly False, staff_check returns True for logged-in users, so the ordinary authenticated caller reaches the view. The task is then bound by the supplied task_id, and the view checks the task's creator, superuser status, assignee relation, and task-list group membership. Because the stated caller is none of those, the condition fails and PermissionDenied is raised before task.delete(). Therefore the actual authorization decision is deny, and the protected deletion effect is not reachable for this caller. The caller's non-staff status matters only to the outer staff_check under the explicitly false setting; the unrelated creator, superuser, assignee, and group relations are decisive at the entry's object-level check. Task assumptions supplied by the task include the existing task/list/group, authenticated ordinary non-staff non-superuser identity, absent creator/assignee/group relations, POST method, false setting, and passing CSRF/unrelated infrastructure checks. Observed source facts are the route mapping, decorators, object lookup, authorization predicate, denial branch, and deletion call. No deployment-wide or uninspected-entry completeness claim is made.
fact[0] entry The supplied URL configuration maps delete/<int:task_id>/ to the delete_task view, and the view package re-exports delete_task. | [{"sourceId": "src-2aa84d8e91e9c931", "startLine": 42, "endLine": 46}, {"sourceId": "src-543995004a0ed0e1", "startLine": 1, "endLine": 4}]
fact[1] binding The entry requires login and applies user_passes_test(staff_check) before executing the view body. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 12, "endLine": 14}]
fact[2] condition staff_check consults TODO_STAFF_ONLY and returns True when that setting is false, allowing all logged-in users through this visible gate. | [{"sourceId": "src-cf660372383c8172", "startLine": 17, "endLine": 27}]
fact[3] binding On POST, the view resolves the existing Task identified by the route task_id and derives its task-list resource for the redirect. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 19, "endLine": 24}]
fact[4] control The strongest visible object-level authorization control requires at least one of task creator, superuser, assignee, or membership in the task list group; otherwise it raises PermissionDenied. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 27, "endLine": 35}]
fact[5] effect Task deletion occurs only after the object-level authorization check, through task.delete(), followed by success messaging and redirect. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 36, "endLine": 39}]
fact[6] condition The deletion path is conditioned on request.method being POST; non-POST requests are denied. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 19, "endLine": 20}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 40, "endLine": 42}]
fact[7] binding The Task model defines the creator, assignee, and task-list relationships used by the visible authorization predicate; TaskList has a group relationship. | [{"sourceId": "src-f2f99f656232b261", "startLine": 55, "endLine": 59}, {"sourceId": "src-f2f99f656232b261", "startLine": 71, "endLine": 89}]
Missing: []

## todo-task-original-dsl completed
source_refuted | The declared policy expectation is deny for this unrelated ordinary user, and the supplied source enforces that expectation on the stated POST path. The route binds delete/<task_id> to the imported delete_task entry. The entry requires an authenticated caller and applies the staff_check decorator; with TODO_STAFF_ONLY explicitly False, that visible gate allows logged-in users through, so it is not the decisive denial for this state. On POST, the task_id is bound to a Task object by primary-key lookup, and the task's list is used for the redirect and group check. The strongest authorization decision is the explicit permission disjunction: creator, superuser, assignee, or member of the task list group. The supplied caller is none of those, so the negated condition raises PermissionDenied before task.delete(). Thus the actual source-visible decision is deny, and the protected deletion effect is unreachable for this principal/resource relation. The role and relation matter because the staff gate is permissive when the setting is false, but the later task-specific branches independently deny an unrelated non-creator, non-superuser, non-assignee, non-group-member. The existing-task, explicit-setting, authenticated identity, CSRF, infrastructure, framework, ORM, and deployment behaviors are task assumptions or scope assumptions rather than independently observed source facts. No decisive source-external fact remains unknown under the supplied fixed context; exact HTTP status and deployment behavior are not needed to decide authorization reachability. This conclusion is limited to the declared entry and supplied source crop; source discovery is not-tested, so no repository-wide completeness claim is made.
fact[0] entry The declared delete path routes the integer task identifier to the delete_task view, which is exported as the project view entry. | [{"sourceId": "src-2aa84d8e91e9c931", "startLine": 42, "endLine": 46}, {"sourceId": "src-543995004a0ed0e1", "startLine": 1, "endLine": 4}]
fact[1] binding The entry requires login and passes the runtime caller through the staff_check test before the view body proceeds. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 12, "endLine": 14}]
fact[2] binding For POST, the request task identifier is resolved to a Task by primary key, and that same task's list supplies the group relation used by the authorization check. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 19, "endLine": 25}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 22, "endLine": 24}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 27, "endLine": 33}]
fact[3] binding The group branch checks membership in the group attached to the selected task's task list, which is distinct from the caller's creator and assignee relationships. | [{"sourceId": "src-f2f99f656232b261", "startLine": 71, "endLine": 89}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 27, "endLine": 33}]
fact[4] control The staff_check control allows all logged-in users when TODO_STAFF_ONLY is false; otherwise it tests user.is_staff. | [{"sourceId": "src-cf660372383c8172", "startLine": 17, "endLine": 27}]
fact[5] control The strongest task-specific authorization control permits deletion only for the task creator, a superuser, an assignee, or a member of the task-list group; otherwise it raises PermissionDenied. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 27, "endLine": 34}]
fact[6] effect The task deletion effect occurs only after the task-specific authorization check and is implemented by task.delete(). | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 34, "endLine": 39}]
fact[7] condition The deletion branch is entered only for a POST request; a non-POST request is denied. | [{"sourceId": "src-3d25f8db47b1c03f", "startLine": 19, "endLine": 20}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 40, "endLine": 42}]
fact[8] condition The supplied explicit false setting is consistent with the source behavior that disables the staff-only restriction while retaining the later task-specific authorization check. | [{"sourceId": "src-cf660372383c8172", "startLine": 17, "endLine": 27}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 12, "endLine": 14}, {"sourceId": "src-3d25f8db47b1c03f", "startLine": 27, "endLine": 36}]
Missing: []

## todo-task-changed-dsl completed
source_refuted | The supplied source enforces the declared allow expectation for this state, so it refutes a policy failure. The declared route maps POST delete/<task_id> to the delete_task entry, which is re-exported as the project view. The entry requires an authenticated caller and applies staff_check; with TODO_STAFF_ONLY explicitly False, that check allows logged-in users rather than requiring staff. On POST, the numeric task_id is used to retrieve the existing Task, and the task's task_list is used for the redirect and group check. The strongest operation-specific authorization control is the OR permission branch: creator, superuser, assignee, or member of the task list group. The caller is neither creator nor superuser nor group member, but is an assignee, so the branch succeeds. The distinct checked resource is the task list's group; group membership is not required here because the assignee branch independently authorizes the task operation. The protected effect is task.delete(), and the visible path reaches it under the assignee branch, followed by success messaging and redirect. No decisive source-external fact remains unknown within the declared fixed assumptions: framework decorator behavior, identity, TODO_STAFF_ONLY=False, POST method, CSRF/infrastructure passage, and ordinary ORM behavior are expressly supplied assumptions. Deployment and repository-wide completeness remain untested but are not needed for this bounded source decision.
fact[0] entry The delete_task entry is mapped to the delete/<task_id> route, and the supplied view exposes that callable for routing. | [{"sourceId": "src-2aa84d8e91e9c931", "startLine": 42, "endLine": 46}, {"sourceId": "src-543995004a0ed0e1", "startLine": 1, "endLine": 4}]
